"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"kittee83","2019-09-28 15:53","0","1","Urgh. Bhí wasp mo leanacht timpeall an seomra suite inniu. Blas deas orm, meastú? I didn't wait to find out 😫 Wasp = Puch(??) #gaeilge #puch #wasp #fauna #dirtypic.twitter.com/l1e7pklrnW","","","#gaeilge #puch #wasp #fauna #dirtypic","1177959482955046912","https://twitter.com/kittee83/status/1177959482955046912","😫"
"RhyanRomaine","2019-09-24 20:00","0","0","Flora and fauna of the day in The Burren. pic.twitter.com/3hkpb8VHYH","","","","1176572028083671045","https://twitter.com/RhyanRomaine/status/1176572028083671045",""
"RobertBohan","2019-09-13 20:56","0","0","Strange creatures scurry from the darker recesses of the mind. They’re neither flor or fauna, both both? pic.twitter.com/kqROggkxXo","","","","1172599877429268480","https://twitter.com/RobertBohan/status/1172599877429268480",""
"TeilHardest","2019-09-12 19:40","0","0","They defined the aboriginals a fauna that could be legally killed up until the 60s so yeah, why don't you leave here and fuck of to that mostly desert island?","","","","1172218438200254464","https://twitter.com/TeilHardest/status/1172218438200254464",""
"BumblebeeFarm_","2019-09-11 10:12","9","29","Lovely image of our 'flora,fauna & food event from last Saturday as part of @atasteofwestcor weather Angel's were on side 😁 food was incredible thanks to @EAttwell and the drinks pairings to accompany each course so thoughtfully prepared by Michael 😁 #spoilt #bumblebeefarmpic.twitter.com/ldXAaIi4kd","","@atasteofwestcor @EAttwell","#spoilt #bumblebeefarmpic","1171713154067390464","https://twitter.com/BumblebeeFarm_/status/1171713154067390464","😁 😁"
"PhoTangoIrl","2019-09-02 09:32","0","9","This is a money making racket dressed up as green. 70% coniferous will do untold damage to biodiversity and native flora and fauna, it will make good profit though. Plant 90% deciduous and bring back natural forests and stop thinking profit first for our children's sake!","","","","1168441578102415360","https://twitter.com/PhoTangoIrl/status/1168441578102415360",""
"PhoTangoIrl","2019-09-02 09:25","0","0","@RTERadio1 the great forest plan is nothing more than profiteering dress up as green. 70% coniferous that's the money, the rest is the sop. Conifers kill biodiversity and will not improve the chances of flora and fauna being supported. @ExtinctRebelsIE","","@RTERadio1 @ExtinctRebelsIE","","1168439708734693377","https://twitter.com/PhoTangoIrl/status/1168439708734693377",""
"M_J_Lyons","2019-08-31 15:09","0","2","Exactly. If land was preserved and managed for wildlife a mixed deciduous forest would self seed over time where other native flora and fauna could be facilitated by prudent management. Set aside land, protect it and just leave it alone. That's how we can restore #biodiversity.https://twitter.com/Irishwildlife/status/1167735380310994944 …","","","#biodiversity","1167801569863176192","https://twitter.com/M_J_Lyons/status/1167801569863176192",""
"FionanCoughlan","2019-08-28 11:11","2","3","Protecting profits of @_FIIreland is more important than protecting our flora, fauna, soil and waterways ? When you begin to learn of the damage Sitka is doing, you will understand that it needs to be blacklisted ASAP! @fergalleamy  @SaveKerry @SaveLeitrimhttps://twitter.com/sinnfeinireland/status/1159063384291254272?s=19 …","","@_FIIreland @fergalleamy @SaveKerry @SaveLeitrimhttps","","1166654455175139331","https://twitter.com/FionanCoughlan/status/1166654455175139331",""
"FionanCoughlan","2019-08-27 20:43","7","35","Don't worry @coilltenews  really care about native Irish Woodlands and the environment, which is why they're subsidising farmers who plant invasive tree species which destroy flora & fauna while sterilising soil 👏 Good job @ADoyleTD 👏https://amp.independent.ie/business/farming/forestry-enviro/forestry/sitka-spruce-is-the-most-important-crop-in-ireland-bar-none-ibec-forestry-chief-38256508.html …","","@coilltenews @ADoyleTD","","1166436006159159298","https://twitter.com/FionanCoughlan/status/1166436006159159298","👏 👌"
"theofluffycat","2019-08-22 18:23","0","2","1 million indigenous people, unique flora and fauna, lungs for the Earth, being burnt for animal agriculture https://twitter.com/TheEconomist/status/1164461897938296833 …","","","","1164588968891080704","https://twitter.com/theofluffycat/status/1164588968891080704",""
"NewToMyHome","2019-08-14 16:11","0","0","Fauna Cottage On 1.11 Acres / 0.45 Ha., , D.. ⇨ €249,000 | 2 Bed Cottage 95.4 m² / 1027.. | http://www.myhome.ie/4358870  | #wicklow #donard","","","#wicklow #donard","1161656652384350208","https://twitter.com/NewToMyHome/status/1161656652384350208",""
"tolkienelf","2019-08-10 19:29","0","1","Same. I’m always yelling about somesuch flora or fauna!","","","","1160256808411422720","https://twitter.com/tolkienelf/status/1160256808411422720",""
"RobertBohan","2019-07-30 20:33","0","3","Science comes forth, usually in unique fauna & botanical forms. You’ll find, too, antibodies & strange organs. pic.twitter.com/ZwQQ1eTLGY","","","","1156286665306062854","https://twitter.com/RobertBohan/status/1156286665306062854",""
"RobertBohan","2019-07-28 16:10","3","11","Science comes forth, usually in unique fauna & botanical forms. You’ll find, too, antibodies & strange organs. pic.twitter.com/VfwUY5S3JF","","","","1155495764652695554","https://twitter.com/RobertBohan/status/1155495764652695554",""
"RobertBohan","2019-07-27 20:08","0","0","Science comes forth, usually in unique fauna & botanical forms. You’ll find, too, antibodies & strange organs. Or in these cases a bird, the Joy of Creation & the Peaceful Sleep pic.twitter.com/femB74tzt1","","","","1155193183682334720","https://twitter.com/RobertBohan/status/1155193183682334720",""
"RobertBohan","2019-07-24 19:58","1","4","Science comes forth, usually in unique fauna & botanical forms. You’ll find, too, antibodies & strange organs. pic.twitter.com/Evbz09PrZ7","","","","1154103701767970818","https://twitter.com/RobertBohan/status/1154103701767970818",""
